date,open,close,high,low,volumefrom,volumeto
2024-09-24,66.96,66.71,67.16,65.7,195897.96,13013498.88
2024-09-25,66.71,66.8,67.85,65.15,164097.07,10984800.69
2024-09-26,66.8,68.58,68.61,65.66,204691.28,13823041.75
2024-09-27,68.58,71.16,71.24,68.33,249393.04,17420943.4
2024-09-28,71.16,70.0,71.54,69.05,175530.76,12337881.5
2024-09-29,70.0,69.3,70.33,68.53,142545.51,9904117.57
2024-09-30,69.3,66.83,69.38,66.33,229208.58,15478590.03
2024-10-01,66.83,63.42,68.58,62.01,278654.94,18196879.49
2024-10-02,63.42,62.96,64.77,62.25,230840.05,14649917.04
2024-10-03,62.96,63.49,63.98,61.96,171512.28,10828118.7
2024-10-04,63.49,64.97,65.18,63.32,171021.33,11023964.77
2024-10-05,64.97,66.31,66.34,64.71,137967.49,9052716.13
2024-10-06,66.31,67.05,67.65,66.16,131993.13,8851618.19
2024-10-07,67.05,64.73,67.96,64.53,187069.65,12419806.8
2024-10-08,64.73,65.74,65.97,64.55,106587.95,6970704.39
